2019-11-12 17:39:12,317 [Thread-26] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java : 993] - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@53416a41: startup date [Tue Nov 12 17:25:09 CST 2019]; root of context hierarchy
2019-11-12 17:39:52,240 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 326] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$194753df] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-12 17:39:52,245 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 326] - Bean 'org.springframework.integration.config.IntegrationManagementConfiguration' of type [org.springframework.integration.config.IntegrationManagementConfiguration$$EnhancerBySpringCGLIB$$84390f0e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-12 17:39:52,340 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 91] - Tomcat initialized with port(s): 9090 (http)
2019-11-12 17:39:52,342 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java : 180] - Starting service [Tomcat]
2019-11-12 17:39:52,342 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java : 180] - Starting Servlet Engine: Apache Tomcat/8.5.34
2019-11-12 17:39:53,991 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner [DirectJDKLog.java : 180] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2019-11-12 17:39:53,995 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] [DirectJDKLog.java : 180] - Initializing Spring embedded WebApplicationContext
2019-11-12 17:39:53,995 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader [ServletWebServerApplicationContext.java : 285] - Root WebApplicationContext: initialization completed in 2062 ms
2019-11-12 17:39:54,278 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-11-12 17:39:54,278 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-11-12 17:39:54,278 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'requestContextFilter' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'springSecurityFilterChain' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'JWTAdminAuthenticationFilter' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'JWTApiAuthenticationFilter' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'JWTAuthenticationFilter' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [AbstractFilterRegistrationBean.java : 245] - Mapping filter: 'corsFilter' to: [/*]
2019-11-12 17:39:54,279 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean [ServletRegistrationBean.java : 187] - Servlet dispatcherServlet mapped to [/]
2019-11-12 17:39:54,440 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java : 373] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-11-12 17:39:54,525 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [RequestMappingHandlerAdapter.java : 588] - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3e0bcb16: startup date [Tue Nov 12 17:39:51 CST 2019]; root of context hierarchy
2019-11-12 17:39:54,545 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/account/modifyAccountInfo],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.AccountController.modifyAccountInfo(com.fyy.YiShang.vo.AccountVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,546 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/account/getAccountInfo/{id}],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.vo.AccountVo> com.fyy.YiShang.controller.AccountController.getAccountInfo(java.lang.Integer)
2019-11-12 17:39:54,546 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/account/getAccountPage],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<java.util.List<com.fyy.YiShang.vo.AccountVo>> com.fyy.YiShang.controller.AccountController.getAccountPage(com.fyy.YiShang.vo.AccountVo)
2019-11-12 17:39:54,547 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/account/insertAccount],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.AccountController.insertAccount(com.fyy.YiShang.vo.AccountVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,547 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/account/deleteAccount],methods=[DELETE]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.AccountController.deleteAccount(com.fyy.YiShang.vo.AccountVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,548 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/api/insertApi],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.ApiController.insertApi(com.fyy.YiShang.vo.ApiVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,548 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/api/deleteApi],methods=[DELETE]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.ApiController.deleteApi(com.fyy.YiShang.vo.ApiVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,549 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/api/modifyApiInfo],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.ApiController.modifyApiInfo(com.fyy.YiShang.vo.ApiVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,549 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/api/getApiInfo/{id}],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.vo.ApiVo> com.fyy.YiShang.controller.ApiController.getApiInfo(java.lang.Integer)
2019-11-12 17:39:54,551 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/api/getApiPage],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<java.util.List<com.fyy.YiShang.vo.ApiVo>> com.fyy.YiShang.controller.ApiController.getApiPage(com.fyy.YiShang.vo.ApiVo)
2019-11-12 17:39:54,552 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/app/deleteApp],methods=[DELETE]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.AppController.deleteApp(com.fyy.YiShang.vo.AppVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,553 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/app/modifyAppInfo],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.AppController.modifyAppInfo(com.fyy.YiShang.vo.AppVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,554 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/app/getAppInfo/{id}],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.vo.AppVo> com.fyy.YiShang.controller.AppController.getAppInfo(java.lang.Integer)
2019-11-12 17:39:54,554 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/app/getAppPage],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<java.util.List<com.fyy.YiShang.vo.AppVo>> com.fyy.YiShang.controller.AppController.getAppPage(com.fyy.YiShang.vo.AppVo)
2019-11-12 17:39:54,555 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/app/insertApp],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.AppController.insertApp(com.fyy.YiShang.vo.AppVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,556 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/comm/admin/login],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.vo.LoginResVo> com.fyy.YiShang.controller.CommController.adminLogin(com.fyy.YiShang.vo.SysUserVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,558 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysRole/entityPage],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.vo.PageData<com.fyy.YiShang.domain.SysRole>> com.fyy.YiShang.controller.SysRoleController.entityPage(com.fyy.YiShang.vo.SysRoleVo)
2019-11-12 17:39:54,559 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysRole/entityInfo],methods=[PUT]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.SysRoleController.modifyEntityInfo(com.fyy.YiShang.vo.SysRoleVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,560 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysRole/queryAllAuthoritys],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<java.util.List<com.fyy.YiShang.domain.SysAuthority>> com.fyy.YiShang.controller.SysRoleController.queryAllAuthoritys()
2019-11-12 17:39:54,560 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysRole/entityInfo/{id}],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.domain.SysRole> com.fyy.YiShang.controller.SysRoleController.entityInfo(java.lang.Integer)
2019-11-12 17:39:54,560 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysRole/entityInfo],methods=[DELETE]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.SysRoleController.deleteEntity(com.fyy.YiShang.vo.SysRoleVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,561 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysRole/entityInfo],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.SysRoleController.addEntityInfo(com.fyy.YiShang.vo.SysRoleVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,563 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysUser/entityPage],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.vo.PageData<com.fyy.YiShang.domain.SysUser>> com.fyy.YiShang.controller.SysUserController.entityPage(com.fyy.YiShang.vo.SysUserVo)
2019-11-12 17:39:54,563 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysUser/entityInfo],methods=[PUT]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.SysUserController.modifyEntityInfo(com.fyy.YiShang.vo.SysUserVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,564 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysUser/entityInfo/{id}],methods=[GET]}" onto public com.fyy.YiShang.vo.BaseRes<com.fyy.YiShang.domain.SysUser> com.fyy.YiShang.controller.SysUserController.entityInfo(java.lang.Integer)
2019-11-12 17:39:54,565 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysUser/entityInfo],methods=[DELETE]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.SysUserController.deleteEntity(com.fyy.YiShang.vo.SysUserVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,566 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/adapi/sysUser/entityInfo],methods=[POST]}" onto public com.fyy.YiShang.vo.BaseRes<java.lang.String> com.fyy.YiShang.controller.SysUserController.addEntityInfo(com.fyy.YiShang.vo.SysUserVo,org.springframework.validation.BindingResult)
2019-11-12 17:39:54,568 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-11-12 17:39:54,569 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java : 549] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-11-12 17:39:54,591 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java : 373] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-11-12 17:39:54,591 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java : 373] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-11-12 17:39:54,600 [restartedMain] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver [ExceptionHandlerExceptionResolver.java : 288] - Detected @ExceptionHandler methods in globalExceptionHandler
2019-11-12 17:39:54,652 [restartedMain] INFO  o.s.u.f.SpringTemplateLoader [SpringTemplateLoader.java : 62] - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3e0bcb16: startup date [Tue Nov 12 17:39:51 CST 2019]; root of context hierarchy] and template loader path [classpath:/templates/]
2019-11-12 17:39:54,652 [restartedMain] INFO  o.s.w.s.v.f.FreeMarkerConfigurer [FreeMarkerConfigurer.java : 131] - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-11-12 17:39:54,663 [restartedMain] WARN  o.s.b.a.f.FreeMarkerAutoConfiguration [FreeMarkerAutoConfiguration.java : 70] - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2019-11-12 17:39:54,695 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskScheduler [ExecutorConfigurationSupport.java : 171] - Initializing ExecutorService  'taskScheduler'
2019-11-12 17:39:54,771 [restartedMain] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration [UserDetailsServiceAutoConfiguration.java : 86] - 

Using generated security password: 71993c2b-09b1-484e-bd56-7a602fa7e096

2019-11-12 17:39:54,777 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 110] - HikariPool-2 - Starting...
2019-11-12 17:39:54,787 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 123] - HikariPool-2 - Start completed.
2019-11-12 17:39:54,792 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=用户管理, role=101, url=/adapi/sysUser/index
2019-11-12 17:39:54,792 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=查看用户, role=102, url=/adapi/sysUser/detail
2019-11-12 17:39:54,792 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=修改用户, role=103, url=/adapi/sysUser/modify
2019-11-12 17:39:54,792 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=删除用户, role=104, url=/adapi/sysUser/del
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=用户列表, role=105, url=/adapi/sysUser/list
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=添加用户, role=106, url=/adapi/sysUser/add
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=角色管理, role=201, url=/adapi/sysRole/index
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=修改角色, role=202, url=/adapi/sysRole/modify
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=查看角色, role=203, url=/adapi/sysRole/detail
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=删除角色, role=204, url=/adapi/sysRole/del
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=角色列表, role=205, url=/adapi/sysRole/list
2019-11-12 17:39:54,793 [restartedMain] INFO  c.f.Y.security.ApplicationSecurity [ApplicationSecurity.java : 102] - init all Authorities, name=添加角色, role=206, url=/adapi/sysRole/add
2019-11-12 17:39:54,815 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java : 43] - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@43a8400a, org.springframework.security.web.context.SecurityContextPersistenceFilter@44afb835, org.springframework.security.web.header.HeaderWriterFilter@22d31863, org.springframework.security.web.authentication.logout.LogoutFilter@1b44e888, com.fyy.YiShang.security.JWTAdminAuthenticationFilter@2c081c2a, com.fyy.YiShang.security.JWTApiAuthenticationFilter@3c774898, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66d132e4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5cfb3e5d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5498b98d, org.springframework.security.web.session.SessionManagementFilter@5993cd7f, org.springframework.security.web.access.ExceptionTranslationFilter@66a89e8a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2c56912]
2019-11-12 17:39:54,859 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer [OptionalLiveReloadServer.java : 57] - LiveReload server is running on port 35729
2019-11-12 17:39:54,903 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter [MBeanExporter.java : 433] - Registering beans for JMX exposure on startup
2019-11-12 17:39:54,904 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter [MBeanExporter.java : 895] - Bean with name 'dataSource' has been autodetected for JMX exposure
2019-11-12 17:39:54,908 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter [MBeanExporter.java : 668] - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2019-11-12 17:39:54,913 [restartedMain] INFO  o.s.c.s.DefaultLifecycleProcessor [DefaultLifecycleProcessor.java : 356] - Starting beans in phase 0
2019-11-12 17:39:54,913 [restartedMain] INFO  o.s.i.endpoint.EventDrivenConsumer [EventDrivenConsumer.java : 107] - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2019-11-12 17:39:54,913 [restartedMain] INFO  o.s.i.c.PublishSubscribeChannel [AbstractSubscribableChannel.java : 64] - Channel 'application.errorChannel' has 1 subscriber(s).
2019-11-12 17:39:54,913 [restartedMain] INFO  o.s.i.endpoint.EventDrivenConsumer [AbstractEndpoint.java : 165] - started _org.springframework.integration.errorLogger
2019-11-12 17:39:54,943 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 206] - Tomcat started on port(s): 9090 (http) with context path ''
2019-11-12 17:39:54,944 [restartedMain] INFO  com.fyy.YiShang.AppMainStarter [StartupInfoLogger.java : 59] - Started AppMainStarter in 3.086 seconds (JVM running for 888.558)
2019-11-12 17:39:54,947 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener [ConditionEvaluationDeltaLoggingListener.java : 56] - Condition evaluation unchanged
